checkpoint,opponent,latent_z,map,episode_index,cell_seed,episode_seed,success,blue_score,red_score,steps,return,zone_coverage,collision_free,win_margin,time_to_first_score,mean_inter_robot_dist,episode_start_phase,fixed_latent_id,outcome,collisions_per_episode,collision_events_per_episode,obstacle_collision_events_per_episode,blue_stuck_steps,red_stuck_steps,blue_blocked_movement_events,blue_obstacle_collision_events,blue_route_switches,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,blue_upper_lane_steps,blue_lower_lane_steps,blue_neutral_lane_steps,blue_movement_attempts,blue_successful_movement_steps,blue_repeated_blocked_movement_events,near_misses_per_episode,decision_steps,reward_total,reward_sparse_points,reward_offense,behavior_team_spread,behavior_num_attackers,behavior_num_defenders,behavior_num_go_to,behavior_carrier_escort_count,behavior_nearest_blue_to_carrier,behavior_nearest_blue_to_enemy_carrier,behavior_n_intercept_near_enemy_carrier,behavior_avg_blue_to_enemy_flag,behavior_avg_blue_to_own_flag,behavior_intercept_pressure,behavior_defense_pressure,behavior_attack_defense_ratio,coord_pairwise_head0_pearson_mean,coord_head0_team_agreement_rate,coord_full_action_team_agreement_rate,coord_trajectory_steps,strategy_switches,strategy_switch_rate,strategy_resamples,strategy_resample_rate,strategy_unique_count,strategy_entropy_mean,strategy_dominant,strategy_occupancy_0,strategy_occupancy_1,strategy_occupancy_2,strategy_occupancy_3,strategy_phase_blue_attack_occupancy_0,strategy_phase_blue_attack_occupancy_1,strategy_phase_blue_attack_occupancy_2,strategy_phase_blue_attack_occupancy_3,strategy_phase_blue_defense_occupancy_0,strategy_phase_blue_defense_occupancy_1,strategy_phase_blue_defense_occupancy_2,strategy_phase_blue_defense_occupancy_3,strategy_phase_both_flags_occupancy_0,strategy_phase_both_flags_occupancy_1,strategy_phase_both_flags_occupancy_2,strategy_phase_both_flags_occupancy_3,strategy_phase_neutral_occupancy_0,strategy_phase_neutral_occupancy_1,strategy_phase_neutral_occupancy_2,strategy_phase_neutral_occupancy_3
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,0,map_b_split_lane,0,1,1,1,3,0,184,-3.5815366469032597,0.6399999856948853,0,3,82.0,5.61155833368716,neutral,0,win,3,3,10,0,0,0,0,6,3,0,0,3,5,0,120,27,221,368,368,0,82,184,0.6130925416946411,100.0,0.606874942779541,0.11174013939908826,0.7445652173913043,0.47282608695652173,0.782608695652174,0.15217391304347827,0.9097153151954483,0.9685393694950186,0.4945652173913043,0.24077520328675114,0.27685746147661755,0.8460912733622219,0.821337154702,0.5679347826086957,-0.22113074872222718,0.23369565217391305,0.08152173913043478,184.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,0,map_b_split_lane,1,1,2,1,1,0,240,-12.032285116554704,0.6800000071525574,0,1,45.0,5.882265726725261,neutral,0,win,8,8,17,0,0,0,2,1,14,0,1,0,1,0,292,10,178,480,480,0,156,240,0.27942758798599243,0.0,0.0,0.10295700216277813,0.2625,0.0,1.7375,0.06666666666666667,1.3556393084737162,1.4171316308435054,0.0375,0.3168098104263966,0.34005242738251884,0.7346038967370987,0.6608111217617989,0.565625,0.3861455620762735,0.8541666666666666,0.8541666666666666,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,0,map_b_split_lane,2,1,3,1,2,1,240,-9.379211491774186,0.7199999690055847,0,1,106.0,6.301429748535156,neutral,0,win,3,3,18,0,0,2,0,6,8,0,0,2,2,0,213,29,238,471,469,0,111,240,0.28023242950439453,0.0,0.0,0.09021054624657457,0.5625,0.0,1.4375,0.09166666666666666,1.1483308008406312,1.3017476191744208,0.2125,0.2880228986730799,0.3106755489483476,0.7810791755716006,0.723948904623588,0.640625,-0.023474017763649668,0.5791666666666667,0.5125,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,0,map_b_split_lane,3,1,4,1,2,1,240,-9.21160623949254,0.5999999642372131,0,1,43.0,6.856504313151041,neutral,0,win,4,4,9,0,0,0,0,2,7,0,1,1,4,0,273,12,195,454,454,0,99,240,0.2858908176422119,0.0,0.020428568124771118,0.07651860283028024,0.5541666666666667,0.016666666666666666,1.4291666666666667,0.1375,1.1242616459727288,1.2443979575725583,0.25416666666666665,0.28374368157237767,0.3290582262290021,0.776564838985602,0.7569160923361778,0.634375,0.3044345499118144,0.7,0.6833333333333333,240.0,0,0.0,0,0.0,1,0.0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,1,map_b_split_lane,0,1,1,1,3,0,158,-1.492060299613513,0.5600000023841858,0,3,40.0,5.892770887930182,neutral,1,win,10,10,12,0,0,0,2,1,1,7,0,3,0,0,6,108,202,316,316,0,73,158,0.6506366729736328,100.0,0.6556249856948853,0.07050958131675762,1.3924050632911393,0.6075949367088608,0.0,0.44936708860759494,0.6660716412942621,1.5,0.0,0.16803298400762148,0.281241507941409,0.8875790408140496,0.771778264000446,0.6962025316455697,-0.43006644972295033,0.3924050632911392,0.3924050632911392,158.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,1,map_b_split_lane,1,1,2,1,3,0,147,0.10419189839740284,0.6800000071525574,0,3,41.0,6.295120343059098,neutral,1,win,12,12,4,0,0,0,0,3,2,4,1,2,0,0,30,80,184,294,294,0,54,147,0.6534470319747925,100.0,0.6762499809265137,0.06301054570405763,1.3401360544217686,0.6598639455782312,0.0,0.5850340136054422,0.5634513921199404,1.5,0.0,0.14452483894012005,0.29850841696266417,0.8865771366625416,0.7695905014771183,0.6700680272108843,-0.4816377493823482,0.3401360544217687,0.3401360544217687,147.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,1,map_b_split_lane,2,1,3,1,3,0,162,-2.810383673553588,0.5199999809265137,0,3,38.0,5.634494357638889,neutral,1,win,15,15,8,0,0,0,0,1,1,7,0,3,0,0,5,106,213,324,324,0,62,162,0.771653950214386,150.0,1.1481249332427979,0.052078519487914476,1.4938271604938271,0.5061728395061729,0.0,0.4382716049382716,0.7816984738326735,1.4289405081237172,0.09876543209876543,0.1790099055563778,0.2863170517447554,0.8594982300275638,0.7406669156050977,0.7469135802469136,-0.3366013853370738,0.49382716049382713,0.49382716049382713,162.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,1,map_b_split_lane,3,1,4,1,3,0,228,-5.802444386907155,0.6800000071525574,0,3,76.0,5.870201780084978,neutral,1,win,7,7,5,0,0,0,0,4,3,9,1,3,0,0,33,144,279,456,456,0,97,228,0.631134033203125,100.0,0.5243749618530273,0.07741222954396028,1.4473684210526316,0.5526315789473685,0.0,0.36403508771929827,0.7510716195561384,1.5,0.0,0.1798183280451779,0.298325299889895,0.8780256894073988,0.7346341322388565,0.7236842105263158,-0.35682187534693827,0.4473684210526316,0.4473684210526316,228.0,0,0.0,0,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,1.0,0.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,2,map_b_split_lane,0,1,1,1,3,0,158,-1.492060299613513,0.5600000023841858,0,3,40.0,5.892770887930182,neutral,2,win,10,10,12,0,0,0,2,1,1,7,0,3,0,0,6,108,202,316,316,0,73,158,0.6506366729736328,100.0,0.6556249856948853,0.07050958131675762,1.3924050632911393,0.6075949367088608,0.0,0.44936708860759494,0.6660716412942621,1.5,0.0,0.16803298400762148,0.281241507941409,0.8875790408140496,0.771778264000446,0.6962025316455697,-0.43006644972295033,0.3924050632911392,0.3924050632911392,158.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,2,map_b_split_lane,1,1,2,1,3,0,147,0.10419189839740284,0.6800000071525574,0,3,41.0,6.295120343059098,neutral,2,win,12,12,4,0,0,0,0,3,2,4,1,2,0,0,30,80,184,294,294,0,54,147,0.6534470319747925,100.0,0.6762499809265137,0.06301054570405763,1.3401360544217686,0.6598639455782312,0.0,0.5850340136054422,0.5634513921199404,1.5,0.0,0.14452483894012005,0.29850841696266417,0.8865771366625416,0.7695905014771183,0.6700680272108843,-0.4816377493823482,0.3401360544217687,0.3401360544217687,147.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,2,map_b_split_lane,2,1,3,1,3,0,162,-2.810383673553588,0.5199999809265137,0,3,38.0,5.634494357638889,neutral,2,win,15,15,8,0,0,0,0,1,1,7,0,3,0,0,5,106,213,324,324,0,62,162,0.771653950214386,150.0,1.1481249332427979,0.052078519487914476,1.4938271604938271,0.5061728395061729,0.0,0.4382716049382716,0.7816984738326735,1.4289405081237172,0.09876543209876543,0.1790099055563778,0.2863170517447554,0.8594982300275638,0.7406669156050977,0.7469135802469136,-0.3366013853370738,0.49382716049382713,0.49382716049382713,162.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,2,map_b_split_lane,3,1,4,1,3,0,228,-5.802444386907155,0.6800000071525574,0,3,76.0,5.870201780084978,neutral,2,win,7,7,5,0,0,0,0,4,3,9,1,3,0,0,33,144,279,456,456,0,97,228,0.631134033203125,100.0,0.5243749618530273,0.07741222954396028,1.4473684210526316,0.5526315789473685,0.0,0.36403508771929827,0.7510716195561384,1.5,0.0,0.1798183280451779,0.298325299889895,0.8780256894073988,0.7346341322388565,0.7236842105263158,-0.35682187534693827,0.4473684210526316,0.4473684210526316,228.0,0,0.0,0,0.0,1,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,0.0,1.0,0.0
artifacts\v6i23_population_birth_5u_seed1\final_v6i23_population_birth_5u_seed1_2v2.zip,OP10,3,map_b_split_lane,0,1,1,1,3,0,164,-1.6466415693284944,0.5999999642372131,0,3,40.0,6.061880716463414,neutral,3,win,12,12,13,0,0,0,2,3,2,6,0,3,0,0,12,92,224,328,328,0,68,164,0.618904173374176,100.0,0.6443749666213989,0.07335911797098361,1.329268292682927,0.3048780487804878,0.36585365853658536,0.40853658536585363,0.6987855559464816,1.5,0.0,0.17665836977113675,0.27687926515482547,0.875866257199427,0.7628482765540844,0.7560975609756098,0.07022421906285412,0.35365853658536583,0.2682926829268293,164.0,0,0.0,0,0.0,1,0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,0.0,0.0,0.0,1.0
