exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41820-1790174733061830900,41820,128,0,0,0,0,0.0,0.0,0.0,0.0021627850364893675,0.035884223878383636,5.7081298828125,1.0051062107086182,0,0,0,0,0.0,0.0,0.0,0.0,0.9669455885887146,0.0,0.008593750186264515,-0.0011391961015760899,0.027948178350925446,0.0023437500931322575,0.234375,-0.008531250059604645,0.0,0.0,0.0,0.0,0.0021627850364893675,0.0023437500931322575,0.015295995748601854,6.5235078968132365,1.0,3.6384474765957213,-0.013407474383711815,0.04244711808860302,0.037364743649959564,0.0050823744386434555,0.038381218910217285,0.04244711995124817,0.046513017266988754,0.047529492527246475,0.0,0.0,0.0,0.1363946720957756,0.15032092249020934,0.05078125,3.649008631706238,0.00037308,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1827370524406433,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,41820-1790174733061830900,41820,256,1,1,0,0,1.0,1.0,1.0,0.007046263664960861,0.06023002043366432,3.462538719177246,1.2541861534118652,1,1,0,0,1.0,3.0,3.0,0.0,-4.155107498168945,0.0078125,0.01406249962747097,0.0007383988704532385,0.023811105638742447,0.01015624962747097,1.015625,-0.0073437499813735485,0.0,0.0,0.0,0.0,0.007046263664960861,0.01796874962747097,0.02019987575476989,1.1241044629742447,1.0,0.40867291607373907,-0.0030508851632475853,24.3891019821167,23.692691802978516,0.6964101791381836,23.831974029541016,24.389102935791016,24.946229934692383,25.085512161254883,0.0,0.0,0.0,0.13996205478906631,0.019063384039327502,0.0390625,145.0619659423828,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,2.8476123809814453,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,41820-1790174733061830900,41820,384,1,1,0,0,1.0,1.0,1.0,0.005843702703714371,0.04431094974279404,6.60223913192749,1.1489681005477905,0,0,0,0,0.0,0.0,0.0,0.0,0.9640664458274841,0.0,0.00937500037252903,-0.0004100449150428176,0.027350053191184998,0.015625,1.5625,-0.007343750447034836,0.0,0.0,0.0,0.0,0.005843702703714371,0.015625,0.016110002441564575,1.0309741739130023,1.0,0.4699699505333953,-0.00832280827065309,0.08064084748427074,0.072211354970932,0.006228637415915728,0.07429741322994232,0.08264163136482239,0.08618397265672684,0.0870695561170578,0.0,0.0,0.0,0.19509093463420868,0.01586033357307315,0.057291666666666664,5.175894737243652,0.00036924,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.21780012547969818,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,41820-1790174733061830900,41820,512,2,2,0,0,1.0,1.0,1.0,0.005793438293039799,0.03835572674870491,8.4002046585083,3.100659132003784,1,1,0,0,1.0,2.0,2.0,0.0,0.9991748332977295,0.0078125,0.007031250279396772,0.000426317797973752,0.030453115701675415,0.0078125,0.78125,-0.0065312497317790985,0.0,0.0,0.0,0.0,0.005793438293039799,0.015625,0.014751108654309064,0.9440105372013992,1.0,0.41797323254697927,-0.009393187938258052,0.00974106159992516,0.007717335596680641,0.0012000593123957515,0.008440111763775349,0.01019563153386116,0.010678354650735855,0.01085564773529768,0.0,0.0,0.0,0.10779288224875927,0.022791227413108572,0.0546875,2.0564808547496796,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.08906993269920349,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,41820-1790174733061830900,41820,640,2,2,0,0,1.0,1.0,1.0,0.0008512271451763809,0.0045346450060606,7.068994522094727,1.2673008441925049,0,0,0,0,0.0,0.0,0.0,0.0,0.9986056685447693,0.0,0.0015625000232830644,-0.003113197162747383,0.037112850695848465,0.0,0.0,-0.006656249985098839,0.0,0.0,0.0,0.0,0.0008512271451763809,0.0,0.010062413406558335,10062.413406558335,1.0,6656.249985098839,-0.0013753697276115417,0.003572956076823175,0.002485099947080016,0.0010878561297431588,0.002702671103179455,0.0035729561932384968,0.0044432408176362514,0.004660812206566334,0.0,0.0,0.0,0.07897672057151794,0.019004935398697853,0.015625,3.0485023260116577,0.00036540000000000005,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.04732174798846245,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,41820-1790174733061830900,41820,768,3,3,0,0,1.0,1.0,1.0,0.0052165980450809,0.03834982588887215,7.865814685821533,3.236264944076538,1,1,0,0,1.0,1.0,1.0,0.0,0.9985100030899048,0.0078125,0.0062500000931322575,-0.0004938410129398108,0.028650809079408646,0.0078125,0.78125,-0.007375000044703484,0.0,0.0,0.0,0.0,0.0052165980450809,0.015625,0.013289242109749466,0.8504570657717564,1.0,0.4719697967940281,-0.0026677725836634636,0.01329997112043202,0.010887354612350464,0.001738711609505117,0.011465327814221382,0.013302760198712349,0.01513238251209259,0.01570700854063034,0.0,0.0,0.0,0.04573619272559881,0.0016088444972410798,0.009765625,1.7548599243164062,0.00036348,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.1249220222234726,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41820-1790174733061830900,41820,896,3,3,0,0,1.0,1.0,1.0,0.00118835864122957,0.004729949403554201,7.669854164123535,1.3881993293762207,0,0,0,0,0.0,0.0,0.0,0.0,0.9991756081581116,0.0,0.0015625000232830644,-0.0031176554039120674,0.03951231762766838,0.0,0.0,-0.005906249862164259,0.0,0.0,0.0,0.0,0.00118835864122957,0.0,0.010661165579222143,10661.165579222143,1.0,5906.249862164259,-0.0035982076078653336,0.0029139933176338673,0.002746060024946928,0.00016793329268693924,0.0027796467766165733,0.0029139933176338673,0.003048339858651161,0.0030819266103208065,0.0,0.0,0.0,0.06261244229972363,0.01688693114556372,0.01171875,1.8293769359588623,0.00036156000000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.03985871747136116,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,41820-1790174733061830900,41820,1024,4,4,0,0,1.0,1.0,1.0,0.005788175389170647,0.03834761679172516,4.778219223022461,3.1511423587799072,1,1,0,0,1.0,2.0,2.0,0.0,0.8577409982681274,0.0078125,0.0062500000931322575,-0.0011295429430902004,0.03443138673901558,0.0078125,0.78125,-0.0063749998807907104,0.0,0.0,0.0,0.0,0.005788175389170647,0.015625,0.014575461042113602,0.9327698094274671,1.0,0.40797388204215473,-0.004540625959634781,2.827511489391327,2.6278038024902344,0.12786991894245148,2.6812267303466797,2.863691806793213,2.944852113723755,2.9548585414886475,0.0,0.0,0.0,0.06549871154129505,0.002019744919380173,0.0078125,49.45887565612793,0.00035964,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.188523769378662,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,41820-1790174733061830900,41820,1152,4,4,0,0,1.0,1.0,1.0,0.0011359251802787185,0.0019561615772545338,3.561417818069458,0.6191404461860657,0,0,0,0,0.0,0.0,0.0,0.0,0.9910665154457092,0.0,0.0,-0.00332156871445477,0.04449641704559326,0.0,0.0,-0.005750000476837158,0.0,0.0,0.0,0.0,0.0011359251802787185,0.0,0.010293712082784623,10293.712082784623,1.0,5750.000476837158,-0.0028599323704838753,0.005253645591437817,0.00345782283693552,0.0017958227545022964,0.0038169873878359795,0.005253645591437817,0.006690303795039654,0.007049468345940113,0.0,0.0,0.0,0.05137922614812851,0.02254256559535861,0.01171875,2.9849328994750977,0.00035772,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.05851936712861061,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,41820-1790174733061830900,41820,1280,5,4,0,1,0.8,0.8,0.8,0.0015009371563792229,0.03417080640792847,4.262130260467529,0.7607292532920837,1,0,0,1,0.0,0.0,0.0,0.0,-1.2241771221160889,-0.00390625,0.004687499720603228,-0.0007822007755748928,0.023025210946798325,0.0078125,0.78125,-0.007656250149011612,0.0,0.0,0.0,0.0,0.0015009371563792229,0.00390625,0.010248252263409086,2.6228811218655284,1.0,1.9594984065548946,-0.004261123016476631,1.2889009316762288,1.2310163974761963,0.045134011656045914,1.2437227964401245,1.2945482730865479,1.3318201303482056,1.3411381244659424,0.0,0.0,0.0,0.061915043741464615,0.0176176228269469,0.010416666666666666,12.53685220082601,0.0003558,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,1.1345269680023193,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
