episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total,canonical_map,resolved_map,ruleset_id,ruleset_fingerprint,formal_result_eligible
1,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,222,1,94,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,0,3,222,0.5999999642372131,0,8,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,10.07410987647804,1.0,0.5,6.178021430969238e-05,0.0,1.0,100.0,-0.00800000037997961,0.5532160997390747,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
2,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,462,3,78,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.5999999642372131,0,8,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,10.300844319661458,1.0,0.0,0.01711621880531311,0.04999999701976776,0.0,0.0,-0.004000000189989805,0.24791941046714783,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
3,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,702,5,62,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,1,0,1,240,0.5999999642372131,0,6,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,10.699186197916667,1.0,0.0,-0.010612577199935913,0.04099813848733902,0.0,0.0,-0.00800000037997961,0.24482379853725433,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
4,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,942,7,46,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.6399999856948853,0,16,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,10.859405517578125,1.0,0.0,0.01022455096244812,0.0,0.0,0.0,-0.01600000075995922,0.24175672233104706,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
5,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,1182,9,30,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.570887247721354,-0.5,0.0,0.021061882376670837,0.023999080061912537,0.0,0.0,0.0,-0.12157928198575974,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
6,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,1315,10,35,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,3,0,3,133,0.5199999809265137,0,5,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,7.158799709234023,1.0,0.5,-0.004601508378982544,0.0,1.0,100.0,0.0,0.5544005632400513,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
7,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,1555,12,19,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,0,7,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.67494608561198,-0.5,0.0,-0.00832664966583252,0.04100000113248825,0.0,0.0,-0.004000000189989805,-0.12332690507173538,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
8,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,1795,14,3,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,1,2,0,2,240,0.6399999856948853,0,8,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,9.121940104166667,1.0,0.0,-0.01875411719083786,0.022999025881290436,0.0,0.0,-0.01600000075995922,0.24140478670597076,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
9,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,2035,15,115,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.5999999642372131,0,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10.78214823404948,-0.5,0.0,0.016526587307453156,0.027999980375170708,0.0,0.0,-0.020000001415610313,-0.12653520703315735,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
10,exploratory_pi_A_specialist_6v6_closest_split_defend_6v6_v1,41820,2275,17,99,,OP3,OPPONENT_POOL,train,map_a_open,-1,0,SCRIPTED:OP6,5,0,0,0,0,240,0.6800000071525574,0,9,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.555467732747395,-0.5,0.0,-0.01830357313156128,0.04100000113248825,0.0,0.0,-0.012000000104308128,-0.1259097158908844,map_a,map_a_open,RULESET_V3_M1_OWN_FLAG_HOME,73b77ac3a0efb2c33a4498544c96bb702a656cbbfe17af18ec859c6d6b4c2142,True
