update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
1,49820-1785714679151848700,49820,2048,10,6,4,0,0.6,0.6,0.6,-0.0008584293536841869,0.06971754133701324,0.02158159390091896,0.2798651456832886,10,6,4,0,0.6,0.2,2.5,2.3,0.005007326602935791,0.0009765625,-0.0014160156715661287,0.003479822538793087,0.008952636271715164,-0.0033203125931322575,-0.33203125,-0.0027226563543081284,0.0,0.0,0.0,0.0,-0.0008584293536841869,-0.0023437500931322575,0.001692099031060934,0.7216543187340391,1.0,1.1611712319716943,-0.01562479033600539,0.07270841114223003,0.06250815093517303,0.005892391316592693,0.06601905822753906,0.07164745032787323,0.08037640154361725,0.08483488857746124,0.0,0.0,0.0,3.488282650709152,0.006712807837175205,0.0565185546875,0.1632841620594263,0.0004989759999999999,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.27916356921195984,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
2,49820-1785714679151848700,49820,4096,17,7,10,0,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.0008894663769751787,0.05014585703611374,0.06326008588075638,0.19746547937393188,7,1,6,0,0.14285714285714285,-0.8571428571428571,2.0,2.857142857142857,0.14094918966293335,-0.00244140625,0.00390625,0.0013874555006623268,0.0036547849886119366,0.00390625,0.390625,-0.0033359373919665813,0.0,0.0,0.0,0.0,0.0008894663769751787,0.00146484375,0.005166810122318566,3.524802778139598,1.0,2.275779660667504,-0.018921141454484314,0.02956231206189841,0.02396274358034134,0.002894127508625388,0.026418136432766914,0.029308075085282326,0.033502109348773956,0.03362692520022392,0.0,0.0,0.0,4.100975945591927,0.01159616880613612,0.11181640625,0.28657957166433334,0.000497952,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.18302085995674133,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
3,49820-1785714679151848700,49820,6144,27,15,10,2,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.0021057853009551764,0.03955741226673126,0.12365980446338654,0.16077646613121033,10,8,0,2,0.8,1.0,1.7,0.7,0.12926441431045532,0.00341796875,0.004199218936264515,0.0007849052199162543,0.002348632551729679,0.00439453125,0.439453125,-0.0036269533447921276,0.0,0.0,0.0,0.0,0.0021057853009551764,0.0078125,0.004982603379175998,0.6376916080087027,1.0,0.4641906117350903,-0.0209917887696065,0.022119047353044152,0.016889486461877823,0.0023044811096042395,0.020185235887765884,0.02146206796169281,0.02513868734240532,0.025849463418126106,0.0,0.0,0.0,4.377992212772369,0.011857226912979968,0.1082763671875,0.3312473762780428,0.000496928,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15002569556236267,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
4,49820-1785714679151848700,49820,8192,36,23,10,3,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.0029134764336049557,0.041791196912527084,0.21964165568351746,0.21780818700790405,9,8,0,1,0.8888888888888888,1.2222222222222223,1.4444444444444444,0.2222222222222222,0.3249017596244812,0.003662109375,0.004638671875,0.0015827094903215766,0.0026928710285574198,0.0064941407181322575,0.6494140625,-0.003499999875202775,0.0,0.0,0.0,0.0,0.0029134764336049557,0.010156250093132257,0.005707567004719749,0.5619204954477663,1.0,0.34458144114904404,-0.025419417303055525,0.03183344262652099,0.02705340087413788,0.00329084531404078,0.027557209134101868,0.03241767734289169,0.03551114350557327,0.03894735872745514,0.0,0.0,0.0,4.205855533480644,0.013871315619326197,0.135009765625,0.37007100228220224,0.000495904,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17896069586277008,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
5,49820-1785714679151848700,49820,10240,49,31,13,5,0.6326530612244898,0.6326530612244898,0.6326530612244898,0.0018771970644593239,0.045287784188985825,0.17624741792678833,0.27171236276626587,13,8,3,2,0.6153846153846154,0.8461538461538461,1.4615384615384615,0.6153846153846154,0.19410836696624756,0.001953125,0.0042968750931322575,0.0013561653904616833,0.0030346678104251623,0.004199218936264515,0.419921875,-0.0035800780169665813,0.0,0.0,0.0,0.0,0.0018771970644593239,0.006152343936264515,0.005394583393353969,0.8766913485139652,1.0,0.5818101594919013,-0.027172667672857642,0.05321907438337803,0.0439704991877079,0.0067801643162965775,0.046162985265254974,0.05108194798231125,0.062130916863679886,0.06652157008647919,0.0,0.0,0.0,4.2876885533332825,0.014282873940828722,0.13330078125,0.34204589016735554,0.00049488,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.24392016232013702,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
6,49820-1785714679151848700,49820,12288,57,34,15,8,0.5964912280701754,0.58,0.5964912280701754,0.0003388480399735272,0.038495711982250214,0.13560613989830017,0.21010267734527588,8,3,2,3,0.375,0.625,1.5,0.875,0.3079324960708618,-0.000244140625,0.0023437500931322575,6.867687625344843e-05,0.002343749860301614,0.00244140625,0.244140625,-0.0036210939288139343,0.0,0.0,0.0,0.0,0.0003388480399735272,0.002197265625,0.002946856777271023,1.340537168828732,1.0,1.6472503994206498,-0.023181102611124514,0.027832889060179392,0.022625861689448357,0.003771628485992551,0.023294834420084953,0.026776976883411407,0.033016979694366455,0.03548569232225418,0.0,0.0,0.0,4.309824911753337,0.012929633213207125,0.12083333333333333,0.3585989018281301,0.000493856,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.17478567361831665,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
7,49820-1785714679151848700,49820,14336,66,42,15,9,0.6363636363636364,0.7,0.6363636363636364,0.0016630126629024744,0.03021908551454544,0.19799575209617615,0.16073265671730042,9,8,0,1,0.8888888888888888,1.1111111111111112,1.1111111111111112,0.0,0.0284116268157959,0.003662109375,0.003515625139698386,0.0002247906813863665,0.0012646483955904841,0.0032226562034338713,0.322265625,-0.003789062611758709,0.0,0.0,0.0,0.0,0.0016630126629024744,0.006884765578433871,0.003887984908942599,0.564640905162342,1.0,0.5502747034586836,-0.02531897390144877,0.02368316671345383,0.021089015528559685,0.0019048653775826097,0.021562904119491577,0.02341119572520256,0.025897230952978134,0.02887604385614395,0.0,0.0,0.0,4.446746647357941,0.01212073751958087,0.109619140625,0.3763362541794777,0.000492832,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15843287110328674,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
8,49820-1785714679151848700,49820,16384,75,48,16,11,0.64,0.7,0.64,-9.59325407166034e-05,0.03030172921717167,0.1266627162694931,0.19633089005947113,9,6,1,2,0.6666666666666666,0.6666666666666666,1.1111111111111112,0.4444444444444444,0.40950101613998413,0.001953125,0.0013671877095475793,-0.00043745379662141204,0.001320800743997097,0.0,0.0,-0.0037851561792194843,0.0,0.0,0.0,0.0,-9.59325407166034e-05,0.001953125,0.0015880244463915005,0.8126524385039342,1.0,1.9370082155540123,-0.02805524447467178,0.020733405370265245,0.01737406849861145,0.0021261917427182198,0.018301574513316154,0.02067752182483673,0.023535195738077164,0.024486053735017776,0.0,0.0,0.0,4.460507363080978,0.013640836077684071,0.1239013671875,0.32767236698418856,0.000491808,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15086838603019714,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
9,49820-1785714679151848700,49820,18432,82,50,17,15,0.6097560975609756,0.62,0.6097560975609756,0.0002949184272438288,0.03337467461824417,0.13961413502693176,0.18900556862354279,7,2,1,4,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.42857142857142855,0.30798792839050293,-0.00048828125,0.003173828125,0.0001877652684925124,0.0021728514693677425,0.0019042969215661287,0.1904296875,-0.003716797102242708,0.0,0.0,0.0,0.0,0.0002949184272438288,0.0014160156715661287,0.0037639823094650637,2.6562742988614914,1.0,2.622975297185522,0.004108015680685639,0.024375338728229206,0.022614195942878723,0.0016563046956434846,0.022875046357512474,0.023918449878692627,0.026058387011289597,0.026593370363116264,0.0,0.0,0.0,4.354132652282715,0.01406360425365468,0.11979166666666667,0.5296701192855835,0.000490784,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.15722855925559998,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
10,49820-1785714679151848700,49820,20480,93,58,17,18,0.6236559139784946,0.58,0.6236559139784946,0.00260328920558095,0.04543910548090935,0.2544834017753601,0.2259284108877182,11,8,0,3,0.7272727272727273,0.9090909090909091,1.3636363636363635,0.45454545454545453,0.26998603343963623,0.003173828125,0.00449218787252903,0.0017052473267540336,0.0035546873696148396,0.005859375,0.5859375,-0.00367968762293458,0.0,0.0,0.0,0.0,0.00260328920558095,0.009033203125,0.005807171546621248,0.6427984257461832,1.0,0.4073062750550653,-0.025320141023257747,0.03774854098446667,0.03416961431503296,0.003522481070831418,0.03450651839375496,0.03661562129855156,0.04178643971681595,0.04733957350254059,0.0,0.0,0.0,4.161311894655228,0.01444064850511495,0.1312255859375,0.47466087713837624,0.00048976,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.19303517043590546,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
