exp2_n_ppo_actor_updates,exp2_n_teacher_updates,exp2_teacher_to_ppo_ratio,exp2_teacher_loss,exp2_teacher_kl,exp2_teacher_kl_z0,exp2_teacher_kl_z1,exp2_teacher_agreement_z0,exp2_teacher_agreement_z1,exp2_teacher_rows_z0,exp2_teacher_rows_z1,exp2_teacher_active_heads,exp2_teacher_active_heads_z0,exp2_teacher_active_heads_z1,exp2_cell_count_z0_A,exp2_cell_count_z0_B,exp2_cell_count_z1_A,exp2_cell_count_z1_B,exp2_cell_steps_z0_A,exp2_cell_steps_z0_B,exp2_cell_steps_z1_A,exp2_cell_steps_z1_B,exp2b_gradient_cosine_last,exp2b_gradient_cosine_mean,exp2b_gradient_cosine_p10,exp2b_gradient_cosine_p50,exp2b_gradient_cosine_p90,exp2b_gradient_cosine_count,exp2c_private_heads_active,exp2c_private_head_count,exp2c_head0_max_abs_delta,exp2c_head1_max_abs_delta,exp2c_head0_teacher_grad_norm,exp2c_head1_teacher_grad_norm,sappo_n_ppo_actor_updates,sappo_n_anchor_updates,sappo_anchor_to_ppo_ratio,sappo_anchor_loss,sppo_n_ppo_actor_updates,sppo_n_rank_updates,sppo_rank_to_ppo_ratio,sppo_rank_loss,sppo_rank_activation_rate,sppo_delta_A,sppo_delta_B,sppo_lambda_rank,sppo_margin,update,run_id,run_pid,timesteps,episodes_completed,wins,losses,draws,win_rate,rolling_win_rate_50ep,rolling_win_rate_200ep,rollout_reward_mean,rollout_reward_std,rollout_return_mean,rollout_return_std,rollout_episodes,rollout_wins,rollout_losses,rollout_draws,rollout_win_rate,rollout_win_margin_mean,rollout_blue_score_mean,rollout_red_score_mean,explained_variance,reward_terminal_mean,reward_offense_mean,reward_pbrs_mean,reward_team_mean,reward_sparse_mean,reward_sparse_points_mean,reward_failure_mean,reward_behavior_contrast_mean,reward_outcome_diversity_mean,reward_csia_mean,reward_contract_specialist_mean,reward_total_mean,reward_outcome_mean,reward_shaping_mean,reward_shaping_to_outcome_abs_ratio,reward_shaping_coef,reward_failure_to_outcome_abs,policy_loss,value_loss,value_loss_min,value_loss_std,value_loss_p10,value_loss_p50,value_loss_p90,value_loss_max,return_norm_mean,return_norm_std,return_norm_count,entropy,approx_kl,clip_fraction,grad_norm,learning_rate,latent_lam_h,strategy_entropy,strategy_entropy_frac,strategy_policy_loss,strategy_approx_kl,strategy_clip_fraction,strategy_ratio_std,strategy_aux_return_loss,strategy_persist_loss,strategy_grad_norm,strategy_resample_count,strategy_resample_fraction,latent_episode_pg_loss,latent_episode_v_loss,latent_episode_entropy,latent_episode_adv_mean,latent_episode_adv_std,latent_episode_return_mean,latent_episode_return_std,latent_episode_ratio_mean,latent_episode_ratio_max,latent_episode_ratio_min,latent_episode_ratio_std,latent_episode_approx_kl,latent_episode_clip_fraction,latent_episode_count,latent_episode_loss,strategy_bucket_best_match_frac,strategy_experience_records,strategy_experience_buckets,strategy_unique_count,strategy_dominant,strategy_switch_count,strategy_switch_fraction,strategy_wr_spread,strategy_resample_fraction_rollout,rollout_adv_std,rollout_adv_std_at_z_switch,rollout_adv_std_not_z_switch,curriculum_phase,curriculum_phase_idx,curriculum_phase_episodes,curriculum_phase_win_rate,csia_interaction_strength,centered_advantage_matrix,oracle_best_z_per_opponent,router_oracle_gap,routing_gain,regret_weighted_routing_score,gate_A_pass,gate_B_pass,gate_C_pass,csia_bonus_active,csia_payoff_cells,csia_total_count,csia_behavior_spread_max,csia_bonus_mean,csia_last_refresh_update,csia_reward_coef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,49836-1789660902417698500,49836,2048,0,0,0,0,0.0,0.0,0.0,0.0015768026933073997,0.031773779541254044,0.8619810342788696,1.2088426351547241,0,0,0,0,0.0,0.0,0.0,0.0,0.9221745133399963,0.0,0.006542969029396772,0.0002321405045222491,0.012193934991955757,0.0034667968284338713,0.3466796875,-0.0064472658559679985,0.0,0.0,0.0,0.0,0.0015768026933073997,0.0034667968284338713,0.009649487903516274,2.7825989759250636,1.0,1.8591821190631046,0.006118342047557235,0.11257993243634701,0.10151299834251404,0.00674914475530386,0.1052522361278534,0.11452215164899826,0.11835385113954544,0.11976242810487747,0.0,0.0,0.0,5.945194840431213,0.016616775566944852,0.138671875,1.4519807398319244,0.00037116,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3372334837913513,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49836-1789660902417698500,49836,4096,16,10,0,6,0.625,0.625,0.625,0.002608006587252021,0.035426657646894455,1.2101671695709229,2.1452300548553467,16,10,0,6,0.625,1.375,1.4375,0.0625,0.9067142605781555,0.00341796875,0.006103515625,-0.00012717816571239382,0.014966143295168877,0.004199218936264515,0.419921875,-0.0062109376303851604,0.0,0.0,0.0,0.0,0.002608006587252021,0.007617187686264515,0.00981325690736412,1.2881353560056397,1.0,0.81527758125248,-0.015208900972668613,0.42624337332589285,0.3692817986011505,0.029401293024420738,0.3965090215206146,0.4282435178756714,0.4557916224002838,0.47448939085006714,0.0,0.0,0.0,5.816722324916294,0.016296324503075863,0.11774553571428571,3.065063408442906,0.00036732,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6552115678787231,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,49836-1789660902417698500,49836,6144,20,14,0,6,0.7,0.7,0.7,0.0033919229172170162,0.04618345946073532,1.1067416667938232,1.2724052667617798,4,4,0,0,1.0,2.75,3.0,0.25,0.8765470385551453,0.001953125,0.00732421875,4.363818152341992e-05,0.010573898442089558,0.00942382775247097,0.9423828125,-0.0067285154946148396,0.0,0.0,0.0,0.0,0.0033919229172170162,0.01137695275247097,0.009978602905903244,0.8770121587766458,1.0,0.5913643377674948,-0.026828538277186453,0.192591218277812,0.15654516220092773,0.01978382281959057,0.16160579025745392,0.20267370343208313,0.20790693163871765,0.21426048874855042,0.0,0.0,0.0,6.311716914176941,0.01214698055991903,0.08935546875,1.3568167388439178,0.00036348,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4470706582069397,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,49836-1789660902417698500,49836,8192,33,22,1,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002730973530560732,0.041532840579748154,1.1821316480636597,1.5975805521011353,13,8,1,4,0.6153846153846154,1.2307692307692308,1.5384615384615385,0.3076923076923077,0.8782044649124146,0.00244140625,0.006787109188735485,0.0002288430550834164,0.012234363704919815,0.0059570311568677425,0.595703125,-0.006560546346008778,0.0,0.0,0.0,0.0,0.002730973530560732,0.008398437406867743,0.009902910878736293,1.1789969255130406,1.0,0.7810697345806271,-0.02153293415904045,0.3131231798066033,0.28721410036087036,0.02036888524889946,0.2878391742706299,0.31016409397125244,0.3370620906352997,0.34187543392181396,0.0,0.0,0.0,6.239768558078342,0.01259587432206091,0.09483506944444445,2.2505944702360363,0.00035964,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.557543158531189,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,49836-1789660902417698500,49836,10240,42,28,1,13,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.002085103653371334,0.04160524532198906,1.1362807750701904,1.582173228263855,9,6,0,3,0.6666666666666666,1.4444444444444444,1.6666666666666667,0.2222222222222222,0.9228911995887756,0.002197265625,0.005615234375,-0.00028644551639445126,0.012957664206624031,0.004638671875,0.4638671875,-0.006433593574911356,0.0,0.0,0.0,0.0,0.002085103653371334,0.0068359375,0.008783039047557395,1.2846452154283106,1.0,0.9410051759155844,-0.03212919645011425,0.1893638020212,0.14533104002475739,0.01998155564069748,0.16825014352798462,0.19493801891803741,0.2095964252948761,0.21633896231651306,0.0,0.0,0.0,6.074620940468528,0.013895458917514506,0.09339488636363637,1.9537680690938777,0.0003558,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.4393453299999237,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,49836-1789660902417698500,49836,12288,51,35,1,15,0.6862745098039216,0.68,0.6862745098039216,0.0029019583016633987,0.037972625344991684,0.6905195116996765,1.2826193571090698,9,7,0,2,0.7777777777777778,1.5555555555555556,1.5555555555555556,0.0,0.7715186476707458,0.0029296875,0.005859375,-0.00017277104780077934,0.014998581260442734,0.006152343936264515,0.615234375,-0.006246093660593033,0.0,0.0,0.0,0.0,0.0029019583016633987,0.009082031436264515,0.009565827553160489,1.0531536327143363,1.0,0.6876661943120831,-0.024963583176334698,0.3587242563565572,0.29174527525901794,0.05006743222475052,0.3220965564250946,0.33624887466430664,0.4229585826396942,0.46702590584754944,0.0,0.0,0.0,5.834469106462267,0.00969629848582877,0.062065972222222224,2.2463545534345837,0.00035196,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.6130884885787964,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,49836-1789660902417698500,49836,14336,63,43,1,19,0.6825396825396826,0.7,0.6825396825396826,0.0031017055734992027,0.042319122701883316,1.0009554624557495,1.7548776865005493,12,8,0,4,0.6666666666666666,1.5,1.6666666666666667,0.16666666666666666,0.8927783966064453,0.0029296875,0.006542969029396772,-0.0003523796040099114,0.015231262892484665,0.0062500000931322575,0.625,-0.006054687779396772,0.0,0.0,0.0,0.0,0.0031017055734992027,0.009179687593132257,0.01026268985151546,1.1178563421755698,1.0,0.6595026481378222,-0.023758118413388728,0.3069181114435196,0.23171305656433105,0.0573728010058403,0.24281759560108185,0.29886138439178467,0.3864547312259674,0.407850444316864,0.0,0.0,0.0,5.731354093551635,0.010297903750324622,0.0576171875,2.2278708696365355,0.00034812,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.5746296048164368,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,49836-1789660902417698500,49836,16384,69,47,1,21,0.6811594202898551,0.68,0.6811594202898551,0.0016626372234895825,0.03866548836231232,1.2912218570709229,1.1160225868225098,6,4,0,2,0.6666666666666666,1.6666666666666667,1.8333333333333333,0.16666666666666666,0.8970199227333069,0.00146484375,0.00595703162252903,-0.00037628127029165626,0.008720624260604382,0.004687500186264515,0.46875,-0.006976562552154064,0.0,0.0,0.0,0.0,0.0016626372234895825,0.006152343936264515,0.008043117370107211,1.3071132466211393,1.0,1.1337839432374224,-0.03089483853222595,0.1321070831682947,0.1188545823097229,0.008633122779428959,0.11963368207216263,0.13190507888793945,0.14408040046691895,0.1441003382205963,0.0,0.0,0.0,6.422620720333523,0.014507345570665266,0.09613715277777778,1.530540320608351,0.00034428000000000003,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3581373691558838,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,49836-1789660902417698500,49836,18432,80,55,1,24,0.6875,0.7,0.6875,0.0027613569982349873,0.037697989493608475,1.241903305053711,1.6391316652297974,11,8,0,3,0.7272727272727273,1.5454545454545454,1.8181818181818181,0.2727272727272727,0.9280927777290344,0.003173828125,0.00571289099752903,-6.239378126338124e-05,0.016277795657515526,0.005175781436264515,0.517578125,-0.006238281261175871,0.0,0.0,0.0,0.0,0.0027613569982349873,0.008349609561264515,0.009766741466592066,1.1695842554891418,1.0,0.7470450169425982,-0.01504320970603398,0.1924876528126853,0.15850675106048584,0.027011165395379066,0.15948915481567383,0.19145700335502625,0.22818447649478912,0.23554539680480957,0.0,0.0,0.0,5.8068141256059915,0.013821841284100498,0.08928571428571429,1.8269304718290056,0.00034044,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.439541757106781,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,49836-1789660902417698500,49836,20480,86,58,2,26,0.6744186046511628,0.68,0.6744186046511628,0.002538515254855156,0.031109776347875595,0.3800714910030365,1.533632755279541,6,3,1,2,0.5,1.0,1.1666666666666667,0.16666666666666666,0.951625406742096,0.00048828125,0.004931640811264515,-0.0013695608358830214,0.02255738526582718,0.0055175782181322575,0.5517578125,-0.005585937760770321,0.0,0.0,0.0,0.0,0.002538515254855156,0.0060058594681322575,0.010228596918750554,1.7028194138743489,1.0,0.9299264932707314,-0.018878077289887836,0.11283463558980397,0.0973471850156784,0.011584542691707611,0.10086390376091003,0.11042037606239319,0.12789852917194366,0.1345120221376419,0.0,0.0,0.0,5.2940536226545065,0.010338742801520442,0.048828125,1.204248241015843,0.0003366,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.3373105823993683,,,,,,,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,0.0
