condition,opponent,seed,episode_index,opportunity_index,step,selected_z,prev_z,switch_occurred,logit_0,logit_1,logit_2,logit_3,prob_0,prob_1,prob_2,prob_3
learned_qphi_switching,OP5,2000,0,0,0,3,-1,0,-0.13656778633594513,0.04516451805830002,-0.0022913627326488495,0.11458982527256012,0.21605202555656433,0.2591097056865692,0.24710065126419067,0.2777376174926758
learned_qphi_switching,OP5,2000,0,1,32,1,3,1,-0.04222990572452545,0.048411477357149124,-0.05117245763540268,0.019739679992198944,0.2409694343805313,0.2638317346572876,0.23882417380809784,0.25637462735176086
learned_qphi_switching,OP5,2000,0,2,64,1,1,0,-0.0615486204624176,0.0804017186164856,-0.008666444569826126,0.07271328568458557,0.22985774278640747,0.26491549611091614,0.24234025180339813,0.26288652420043945
learned_qphi_switching,OP5,2000,0,3,96,1,1,0,-0.06399789452552795,0.08083364367485046,-0.049958691000938416,0.04343120753765106,0.2334596812725067,0.2698431611061096,0.23676037788391113,0.2599368095397949
learned_qphi_switching,OP5,2000,0,4,128,1,1,0,-0.05272362381219864,0.07901015132665634,-0.026722677052021027,0.05019746720790863,0.23388801515102386,0.2668205201625824,0.2400490790605545,0.25924238562583923
learned_qphi_switching,OP5,2000,0,5,160,3,1,1,-0.0339854471385479,0.026549123227596283,-0.09108361601829529,0.03909359872341156,0.24493467807769775,0.26021966338157654,0.2313411384820938,0.2635045349597931
learned_qphi_switching,OP5,2001,0,0,0,3,3,0,-0.12937870621681213,0.04998746141791344,0.004698924720287323,0.1318780928850174,0.21558687090873718,0.25794079899787903,0.24651961028575897,0.279952734708786
learned_qphi_switching,OP5,2001,0,1,32,1,3,1,-0.061733271926641464,0.06690383702516556,-0.04598085582256317,0.01895185559988022,0.23600579798221588,0.2684040665626526,0.2397529035806656,0.25583726167678833
learned_qphi_switching,OP5,2001,0,2,64,3,1,1,-0.0697227418422699,0.022637873888015747,-0.09250694513320923,0.05312379449605942,0.2378152757883072,0.26082634925842285,0.23245809972286224,0.2689003348350525
learned_qphi_switching,OP5,2001,0,3,96,1,3,1,-0.04984325170516968,0.07922936230897903,-0.02266657166182995,0.049475446343421936,0.23420630395412445,0.26647353172302246,0.24065850675106049,0.258661687374115
