blue_style,blue_probe_protocol,op12_confirmed_escort_response_enabled,red_style,map,episode_index,episode_seed,success,blue_score,red_score,win_margin,steps,return,outcome,time_to_first_score,collision_free,zone_coverage,split_detector_first_trigger_step,split_detector_active_steps,split_detector_max_lateral_sep,split_detector_max_teammate_dist,escort_detector_first_trigger_step,escort_detector_active_steps,escort_detector_score,escort_detector_compact,escort_detector_narrow,escort_detector_leader,escort_detector_heading,escort_detector_speed_penalty,convoy_offensive_active,convoy_corridor_active,convoy_leader_active,convoy_reject_rush,convoy_leader_id,convoy_longitudinal_gap,convoy_lateral_gap,convoy_heading_similarity,convoy_centroid_forward_speed,escort_confirmation_step,escort_confirmation_active_steps,escort_confirmation_carrier_id,escort_confirmation_protector_id,escort_confirmation_distance,escort_confirmation_same_corridor_steps,escort_confirmation_to_episode_end_steps,conversion_phase_first_step,carrier_intercept_attempts
BLUE_ESCORT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,0,620001,0,2,3,-1,96,-2.7677563171018846,loss,32.0,1,0.4000000059604645,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,0,620001,1,3,2,1,87,-1.3532027156616095,win,28.0,1,0.5600000023841858,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,0,620001,1,3,2,1,91,-2.7229297851154115,win,30.0,1,0.8399999737739563,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,0,620001,0,2,3,-1,188,-4.633956569072325,loss,72.0,1,0.7200000286102295,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,1,620002,0,1,3,-2,96,-4.09405497595435,loss,31.0,1,0.4399999976158142,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,1,620002,1,3,2,1,88,-1.9334237747534644,win,28.0,1,0.4000000059604645,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,1,620002,0,2,3,-1,97,-3.804419515135578,loss,29.0,1,0.9200000166893005,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,1,620002,1,3,2,1,162,-3.2836047635646537,win,52.0,1,0.7200000286102295,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,2,620003,0,2,3,-1,98,-3.3000308079936076,loss,32.0,1,0.36000001430511475,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_RUSH,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,2,620003,0,2,3,-1,105,-3.1879706487525254,loss,30.0,1,0.5199999809265137,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_SPLIT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,2,620003,0,2,3,-1,99,-3.5946963344322285,loss,34.0,1,0.7599999904632568,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_TURTLE,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,2,620003,1,3,2,1,161,-1.5551766194403172,win,55.0,0,0.7599999904632568,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
BLUE_ESCORT,BLUE_PROBES_V3,0,OP6_IMMEDIATE_DUAL_RUSH,map_a,3,620004,0,3,3,0,96,-2.335138292837655,draw,32.0,1,0.2800000011920929,-1,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,-1,0.0,-1,-1,0.0,0.0,0.0,-1,0.0
