episode_id,run_id,run_pid,timesteps,policy_update,rollout_step,latent_z,curriculum_phase,mode,map_set,map_layout,map_id,map_vertical_mirror,opponent,opponent_id,success,blue_score,red_score,win_margin,decision_steps,zone_coverage,collision_free_episode,collision_events_per_episode,obstacle_collision_events_per_episode,near_misses_per_episode,blue_route_upper_crossings,blue_route_lower_crossings,red_route_upper_crossings,red_route_lower_crossings,blue_attack_upper_crossings,blue_attack_lower_crossings,blue_return_upper_crossings,blue_return_lower_crossings,blue_intercept_upper_crossings,blue_intercept_lower_crossings,red_attack_upper_crossings,red_attack_lower_crossings,red_return_upper_crossings,red_return_lower_crossings,red_intercept_upper_crossings,red_intercept_lower_crossings,time_to_first_score,mean_inter_robot_dist,reward_terminal,reward_offense,reward_pbrs,reward_team,reward_sparse,reward_sparse_points,reward_failure,reward_total
1,58728-1785319490749956200,58728,1424,0,89,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,89,0.6399999856948853,1,0,7,20,1,10,0,5,1,1,0,3,0,6,0,2,0,1,0,1,37.0,6.781605924113413,1.0,0.5,-0.010362595319747925,0.02499999850988388,1.0,100.0,0.0,0.55523282289505
2,58728-1785319490749956200,58728,1744,0,109,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,109,0.6399999856948853,0,1,6,37,3,11,1,9,2,2,0,3,1,5,0,1,1,0,0,5,37.0,5.609334683199541,1.0,0.5,-0.01048344373703003,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5208239555358887
3,58728-1785319490749956200,58728,1792,0,112,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,112,0.7599999904632568,1,0,2,23,6,6,4,6,1,2,1,2,3,2,0,1,2,0,1,3,40.0,6.717145647321429,1.0,0.5,0.001108795404434204,0.0,1.0,100.0,0.0,0.55464768409729
4,58728-1785319490749956200,58728,2208,0,138,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,138,0.6800000071525574,1,0,6,43,0,12,3,9,0,4,0,3,0,3,1,0,1,0,0,6,59.0,5.7146027053611865,1.0,0.5,0.008936241269111633,0.02499999850988388,1.0,100.0,0.0,0.556066632270813
5,58728-1785319490749956200,58728,2304,0,144,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,2,1,144,0.6800000071525574,1,0,2,79,2,9,2,12,1,3,0,3,1,1,0,2,2,0,0,6,43.0,5.436806148952908,1.0,0.5,-0.008021995425224304,0.0,1.0,100.0,-0.20000000298023224,0.5186554193496704
6,58728-1785319490749956200,58728,2384,0,149,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,149,0.6800000071525574,1,0,3,59,1,15,2,12,1,4,0,4,0,5,0,2,1,0,0,7,52.0,5.9157706651111575,1.0,0.5,0.003816649317741394,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5214749574661255
7,58728-1785319490749956200,58728,2448,0,153,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,153,0.5999999642372131,1,0,6,29,0,18,3,9,0,7,0,3,0,3,1,1,1,0,0,5,34.0,6.17190611596201,1.0,0.5,0.004610329866409302,0.03999999910593033,1.0,100.0,0.0,0.5565273761749268
8,58728-1785319490749956200,58728,2448,0,153,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,153,0.7599999904632568,1,0,3,66,3,10,7,10,1,4,0,3,1,2,4,1,0,1,0,3,68.0,5.472510643254697,1.0,0.5,-0.009922057390213013,0.0,1.0,100.0,0.0,0.5541701912879944
9,58728-1785319490749956200,58728,2544,0,159,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,0,2,3,-1,159,0.7199999690055847,1,0,5,49,2,15,8,4,0,4,0,2,2,7,1,1,4,0,1,2,41.0,6.721016362028302,-1.0,-0.5,0.0031873509287834167,0.0,-1.0,-100.0,0.0,-0.5544617772102356
10,58728-1785319490749956200,58728,2720,0,170,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,2,1,170,0.9199999570846558,0,1,7,44,5,7,6,7,2,3,1,2,0,2,3,0,1,2,2,5,41.0,6.946299115349265,1.0,0.5,-0.02183559536933899,0.029999999329447746,1.0,100.0,-0.20000000298023224,0.5193945169448853
11,58728-1785319490749956200,58728,2768,0,173,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,173,0.7999999523162842,1,0,5,65,2,20,1,17,2,8,0,4,0,1,0,4,1,0,0,8,48.0,5.899163571396315,1.0,0.5,-0.0036205947399139404,0.04999999701976776,1.0,100.0,0.0,0.5566035509109497
12,58728-1785319490749956200,58728,2976,0,186,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,186,0.7599999904632568,0,1,10,48,5,10,4,6,3,4,0,3,1,0,1,1,1,0,2,2,37.0,6.107953471522177,1.0,0.5,-0.009238719940185547,0.02499999850988388,1.0,100.0,0.0,0.5552815198898315
13,58728-1785319490749956200,58728,3072,0,192,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,192,0.7999999523162842,0,1,7,61,11,13,5,7,4,5,1,2,3,3,0,1,1,0,1,4,34.0,6.527296702067058,1.0,0.5,0.005815327167510986,0.04999999701976776,1.0,100.0,-0.20000000298023224,0.5215659141540527
14,58728-1785319490749956200,58728,3280,0,205,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,205,0.8399999737739563,1,0,6,57,4,12,3,13,3,4,0,3,0,2,0,5,1,0,0,4,113.0,6.061694931402439,1.0,0.5,-0.001243889331817627,0.0,1.0,100.0,0.0,0.5545458793640137
15,58728-1785319490749956200,58728,3728,0,233,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,233,0.8399999737739563,1,0,8,72,4,16,6,8,4,5,0,3,0,2,2,3,0,0,1,2,42.0,6.058436577923819,1.0,0.5,-0.04080982506275177,0.03999999910593033,1.0,100.0,-0.20000000298023224,0.5189847946166992
16,58728-1785319490749956200,58728,3840,0,240,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,2,1,1,240,0.7999999523162842,0,2,23,49,12,14,2,4,7,5,0,2,0,2,0,2,1,0,0,1,117.0,6.425019327799479,1.0,0.0,0.011843085289001465,0.019999999552965164,0.0,0.0,-0.4000000059604645,0.15083055198192596
17,58728-1785319490749956200,58728,3872,0,242,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,130,0.6800000071525574,1,0,7,66,2,16,1,16,2,4,0,3,0,5,0,3,0,2,0,7,41.0,4.316676682692307,1.0,0.5,-0.019879549741744995,0.02499999850988388,1.0,100.0,-0.20000000298023224,0.5192555785179138
18,58728-1785319490749956200,58728,3968,0,248,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,139,0.6800000071525574,0,2,3,28,11,5,9,3,2,1,2,1,6,2,2,1,1,1,3,0,38.0,6.025247916900854,1.0,0.5,-0.013879001140594482,0.03999999910593033,1.0,100.0,0.0,0.5557291507720947
19,58728-1785319490749956200,58728,4000,0,250,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,0,1,3,-2,161,0.7599999904632568,1,0,10,41,5,10,3,6,1,3,0,2,3,2,0,5,3,0,0,0,49.0,6.892402222437888,-1.0,-0.5,0.0004666447639465332,0.019999999552965164,-1.0,-100.0,0.0,-0.553713321685791
20,58728-1785319490749956200,58728,4224,0,264,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,126,0.7599999904632568,0,1,6,25,4,6,6,8,1,2,2,2,1,2,1,1,0,1,3,5,50.0,6.661455911303324,1.0,0.5,-0.019333913922309875,0.03999999910593033,1.0,100.0,0.0,0.5554934740066528
21,58728-1785319490749956200,58728,4240,0,265,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,116,0.6399999856948853,1,0,6,51,2,10,2,10,1,3,0,3,0,3,1,1,1,0,0,5,42.0,5.831193068931842,1.0,0.5,-0.013910144567489624,0.04999999701976776,1.0,100.0,0.0,0.5561596155166626
22,58728-1785319490749956200,58728,4480,0,280,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,2,1,110,0.7199999690055847,1,0,6,17,3,8,2,9,1,1,0,3,2,2,0,2,2,0,0,4,45.0,6.623612282492898,1.0,0.5,-0.009449049830436707,0.0,1.0,100.0,0.0,0.5541907548904419
23,58728-1785319490749956200,58728,4688,0,293,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,1,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,120,0.6399999856948853,1,0,6,49,7,9,4,10,3,3,1,2,1,2,0,2,1,0,2,5,37.0,5.176476033528646,1.0,0.5,-0.005882740020751953,0.04999999701976776,1.0,100.0,0.0,0.5565060377120972
24,58728-1785319490749956200,58728,4688,0,293,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,1,2,107,0.7599999904632568,0,1,6,19,5,7,5,7,3,1,0,3,1,2,2,1,1,0,0,4,42.0,6.497789044246495,1.0,0.5,-0.0008355677127838135,0.02499999850988388,1.0,100.0,0.0,0.5556446313858032
25,58728-1785319490749956200,58728,5120,0,320,,OP3,FIXED_OPPONENT,train,map_b_split_lane,-1,0,SCRIPTED:OP11_ADAPTIVE_EXPLOITER,,1,3,0,3,167,0.6399999856948853,1,0,8,48,7,9,8,3,4,3,0,3,1,0,3,0,1,0,2,2,33.0,5.976512429243076,1.0,0.5,-0.0063440799713134766,0.04999999701976776,1.0,100.0,0.0,0.5564860701560974
